"base_id","base_created_date","base_updated_date","base_status","name"
"1","2021-04-07T01:23:54.735209","NULL","ACTIVE","USER_READ_PRIVILEGE"
"2","2021-04-07T01:23:54.735209","NULL","ACTIVE","USER_WRITE_PRIVILEGE"
