"base_id","base_created_date","base_updated_date","base_status","value"
"1","2021-04-07T01:23:54.732127","NULL","ACTIVE","ROLE_USER"
"2","2021-04-07T01:23:54.732127","NULL","ACTIVE","ROLE_ADMIN"
